City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tuatapere,-46.1333,167.6833,44.19,93,6,4.63,NZ,2022-04-17 18:43:35
1,Hasaki,35.7333,140.8333,50.4,68,67,8.57,JP,2022-04-17 18:43:36
2,Mineiros,-17.5694,-52.5511,76.15,42,0,6.11,BR,2022-04-17 18:43:36
3,Upernavik,72.7868,-56.1549,-2.88,81,100,15.95,GL,2022-04-17 18:43:36
4,Huanren,41.2647,125.3667,48.58,49,100,2.86,CN,2022-04-17 18:43:37
5,Torbay,47.6666,-52.7314,42.76,92,100,28.77,CA,2022-04-17 18:43:37
6,Longyearbyen,78.2186,15.6401,21.04,86,75,10.36,SJ,2022-04-17 18:43:37
7,Punta Arenas,-53.15,-70.9167,46.51,87,75,5.75,CL,2022-04-17 18:43:37
8,Ushuaia,-54.8,-68.3,51.46,66,75,0.0,AR,2022-04-17 18:43:38
9,Cap Malheureux,-19.9842,57.6142,77.47,90,38,1.01,MU,2022-04-17 18:43:38
10,Georgetown,5.4112,100.3354,82.33,98,20,3.44,MY,2022-04-17 18:40:25
11,Kodiak,57.79,-152.4072,36.91,81,100,5.75,US,2022-04-17 18:41:36
12,Nikolskoye,59.7035,30.7861,38.8,77,100,3.69,RU,2022-04-17 18:43:39
13,Mataura,-46.1927,168.8643,39.22,96,0,2.3,NZ,2022-04-17 18:43:39
14,Albany,42.6001,-73.9662,45.91,52,100,4.0,US,2022-04-17 18:43:36
15,Aswan,24.0934,32.907,97.9,8,0,9.22,EG,2022-04-17 18:43:39
16,Daloa,6.8774,-6.4502,74.68,87,100,3.02,CI,2022-04-17 18:43:40
17,Ribeira Grande,38.5167,-28.7,61.2,63,20,19.57,PT,2022-04-17 18:43:40
18,Kyra,49.5776,111.9753,37.49,69,19,4.52,RU,2022-04-17 18:43:40
19,Varvoru,44.2333,23.6333,40.57,90,100,4.03,RO,2022-04-17 18:43:41
20,Bambous Virieux,-20.3428,57.7575,77.25,100,40,3.44,MU,2022-04-17 18:43:41
21,Hambantota,6.1241,81.1185,77.34,100,20,1.14,LK,2022-04-17 18:43:41
22,Okhotsk,59.3833,143.3,15.21,93,97,6.42,RU,2022-04-17 18:43:41
23,Akyab,20.15,92.9,81.72,84,6,3.87,MM,2022-04-17 18:43:42
24,Hobart,-42.8794,147.3294,58.01,83,100,17.27,AU,2022-04-17 18:43:42
25,Busselton,-33.65,115.3333,57.2,66,85,1.25,AU,2022-04-17 18:43:42
26,General Cepeda,25.3833,-101.45,90.07,13,8,12.21,MX,2022-04-17 18:43:43
27,Kysyl-Syr,63.8986,122.7617,27.57,86,100,14.56,RU,2022-04-17 18:43:43
28,Korla,41.7597,86.1469,57.0,14,6,4.21,CN,2022-04-17 18:43:43
29,Cabra,37.4725,-4.4421,69.75,47,100,2.82,ES,2022-04-17 18:43:44
30,Jardim De Piranhas,-6.3786,-37.3519,88.7,49,88,13.62,BR,2022-04-17 18:43:44
31,Norman Wells,65.282,-126.8329,10.44,52,20,4.61,CA,2022-04-17 18:43:44
32,Arraial Do Cabo,-22.9661,-42.0278,75.16,69,75,11.5,BR,2022-04-17 18:43:45
33,Pevek,69.7008,170.3133,-2.74,98,33,3.22,RU,2022-04-17 18:43:45
34,Haines Junction,60.7522,-137.5108,28.35,40,50,2.3,CA,2022-04-17 18:43:45
35,Nanortalik,60.1432,-45.2371,31.44,76,87,9.57,GL,2022-04-17 18:43:46
36,Yerbogachen,61.2767,108.0108,39.06,91,100,13.4,RU,2022-04-17 18:43:46
37,Atuona,-9.8,-139.0333,79.57,80,18,18.19,PF,2022-04-17 18:43:46
